New Site Code,Asset Number,Catchment, Action Number,Site Number ,Waterway Action Plan ,Landholder,Contact,Action Summary ,Action ,Priority in WAP,Numeric Priority (Based on WAP),Lead Agency,Easting GDA 94 (start of works only),Northing GDA 94  (start of works only), Cost Estimate of Works , Actual Cost of Works , Status ,Inpsected ,Comments,Unnamed: 20,Unnamed: 21
WAP_2025_08_00213,,Reach 2,F1/2,R2,Mt Cole Creek WAP 2005,Unknown,Null,Negotiate flood warning  signage for road crossing with Council,Flood Signage,Low,1,Refered to Council,690729,5872723,$-,$-,Unknown,,Road safety danger through confined high velocity flooding at Buangor Ben Nevis Road in large events,,
WAP_2025_08_00214,,Reach 4,F1/4,R4 and R4/6,Mt Cole Creek WAP 2005,Unknown,Null,Negotiate flood warning signage for road crossing with Council,Flood Signage,Low,1,Refered to Council,reach,reach,"$12,000.00",$-,Unknown,,Road safety danger through broad flooding of Woodlands Road in large events,,
WAP_2025_08_00215,,Reach 1,S1/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Monitor bank erosion after episodic events to judge rate of change above natural,Monitor,Low,1,,Reach,Reach,"$5,000.00",$-,Unknown,,Insidious bank erosion due to high density of emergent macrophytes,,
WAP_2025_08_00216,,Reach 2,S1/2,R2,Mt Cole Creek WAP 2005,Unknown,Null,Monitor bank erosion after episodic events to judge rate of change above natural,Monitor,Low,1,,reach,reach,"$5,000.00",$-,Unknown,,Insidious bank erosion due to high density of emergent macrophytes,,
WAP_2025_08_00217,,Reach 3,S1/3,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,Reach,Reach,$-,$-,Unknown,,Minor instabilities in foothill tributary channels,,
WAP_2025_08_00218,,Reach 4,S1/4,R4/2,Mt Cole Creek WAP 2005,Unknown,Null,Establish bank controls and revegetate,Stability,Medium,2,,681275,5884310,"$7,500.00",$-,Unknown,,Bank  laybacks and disturbances upstream of Woodlands Road,,
WAP_2025_08_00219,,Multiple,S1/5,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,684135,5882962,$-,$-,Unknown,,Minor instabilities in foothill tributary channels,,
WAP_2025_08_00220,,Multiple,S1/5,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,683704,5882542,$-,$-,Unknown,,Minor instabilities in foothill tributary channels,,
WAP_2025_08_00221,,Multiple,S1/5,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,684481,5879538,$-,$-,Unknown,,Minor instabilities in foothill tributary channels,,
WAP_2025_08_00222,,Multiple,S1/5,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,684453,5876358,$-,$-,Unknown,,Minor instabilities in foothill tributary channels,,
WAP_2025_08_00223,,Multiple,S1/5,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,685508,5878948,$-,$-,Unknown,,Minor instabilities in foothill tributary channels,,
WAP_2025_08_00224,,Reach 1,S2/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Monitor accretion rate and continue to undertake cleanouts for road bridge crossing,Stability,Medium,4,,687178,5881474,"$1,200.00",$-,Unknown,,Culverts and channel u/s of railway culvert showing signs of a bed load aggradation due to tailwater pond conditions and grade change,,
WAP_2025_08_00225,,Multiple,S2/2,Multiple,Mt Cole Creek WAP 2005,Unknown,Null,Monitor bank erosion after episodic events to judge rate of change above natural,Monitor,Low,1,,Reach,Reach,$-,$-,Unknown,,many minor areas of bank erosion in small stream lines where Spiny Rush is holding beds together,,
WAP_2025_08_00226,"no.s 1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929.",Reach 4,S2/4,R4/1/1,Mt Cole Creek WAP 2005,Rod Vearing,5352 3902,Stabilise heads and banks and alternate stock watering to enable stock exclusion in consultation with landowner,Stability,Urgent,5,WCMA,679674,5884043,"$72,000.00","$110,000.00",Completed,,Follow up finish of main reentry chute,,
WAP_2025_08_00227,,Reach 4,S2/4,R4/1/1,Mt Cole Creek WAP 2005,Unknown,Null,Stabilise heads and banks and alternate stock watering to enable stock exclusion in consultation with landowner,Stability,Urgent,5,WCMA,679674,5884043,"$72,000.00",$-,Defered,2006-07,"Tunnelling, channel scour and heads due to high flow energy in area subject to significant historic aggradation arising from upstream erosion",,
WAP_2025_08_00228,,Reach 1,S3/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Restructure chute in this location with some bank stabilisation,Stability,Low,1,,688954,5877731,"$18,000.00",$-,Unknown,,Drop structure at bridge is showing signs of collapse too steep - wrong rock,,
WAP_2025_08_00229,,Multiple,S3/2,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Provide stabilised areas for stock watering and then fence and revegetation areas in cooperative program with land owners and DPI,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$60,000.00",$-,Unknown,,Stock access to minor tributaries adding to instability - poor soils,,
WAP_2025_08_00230,,Reach 4,S3/4,R4/1/1,Mt Cole Creek WAP 2005,Rod Vearing,Null,Establish sediment traps for gross solids to protect road and leave spiny rush swamp to continue to capture fines.  Make a new robust flood gate on fence,Stability,Very High,4,WCMA,681917,5885056,"$120,000.00",$-,Defered,,Sediment fans at and d/s Woodlands Road - floods road - sediment captured in Spiny Rush swamp d/s,,
WAP_2025_08_00230,,Reach 4,S3/4,R4/1/1,Mt Cole Creek WAP 2005,Rod Vearing,Null,Establish sediment traps for gross solids to protect road and leave spiny rush swamp to continue to capture fines.  Make a new robust flood gate on fence,Stability,Very High,4,WCMA,681910,5881986,"$120,000.00",$-,Defered,,Sediment fans at and d/s Woodlands Road - floods road - sediment captured in Spiny Rush swamp d/s,,
WAP_2025_08_00230,,Reach 1,S4/1,R1/2 & R1/2/3,Mt Cole Creek WAP 2005,Unknown,Null,Fence sensitive areas about stabilise bed and revegetation with salt tolerant sedge species,Fencing & Revegetation,High,3,WCMA,690551,5878178,"$7,500.00",$-,Unknown,2014-15,"Bank erosion due to saline discharge, no cover, and stock access",,
WAP_2025_08_00231,,Reach 2,S4/2,"R2/2, R2/2/1",Mt Cole Creek WAP 2005,Paul Harrington,0438 243682,Arrest erosion heads at upstream end and then work with landowners in cooperative program to stabilise the reach,Stability,Urgent,5,WCMA,691627,5875175,"$75,000.00",$-,Completed,,Midway Site (Grass Chute),,
WAP_2025_08_00232,,Reach 2,S4/2,"R2/2, R2/2/1",Mt Cole Creek WAP 2005,Unknown,Null,Arrest erosion heads at upstream end and then work with landowners in cooperative program to stabilise the reach,Stability,Urgent,5,WCMA,691598,5875621,"$75,000.00",$-,Completed,,"Channel erosion of tributaries with many minor heads an some bank erosion,  deep and still progressing slowly at Iron Pot Creek road salty and adding to turbidity load in mainstem. Midway",,
WAP_2025_08_00233,,Reach 4,S4/4,R4/1/1,Mt Cole Creek WAP 2005,Rod Vearing,Null,"Establish chutes, groyne protection for banks, handle overbank re-entries, fence and revegetat channels",Stability,High,3,,680687,5883618,"$120,000.00",$-,Defered,,Old deep incision of channelised creek with active banks through property into multiple channels in foothills,,
WAP_2025_08_00234,,Reach 1,S5/1,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Provide stabilised areas for stock watering and then fence and revegetation areas in cooperative program with land owners and DPI,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,Stock access to minor tributaries adding to instability - poor soils,,
WAP_2025_08_00235,,Reach 4,S5/4,R4/1/1,Mt Cole Creek WAP 2005,Thomas,Null,"Establish chutes, groyne protection for banks, handle overbank re-entries, fence and revegetat channels",Stability,Urgent,5,WCMA,683310,5880031,"$96,000.00",$-,Completed,,No work required,,
WAP_2025_08_00236,,Reach 4,S5/4,R4/1/1,Mt Cole Creek WAP 2005,Unknown,Null,"Establish chutes, groyne protection for banks, handle overbank re-entries, fence and revegetat channels",Stability,Urgent,5,WCMA,683310,5880031,"$96,000.00",$-,Defered,2006-07,Old deep incision of creek with active banks through property into multiple heads in foothills. Significant erosion d/s of Thomas Rd crossing,,
WAP_2025_08_00237,,Reach 1,S6/1,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor bank erosion after episodic events to judge rate of change above natural,Monitor,Low,1,,Reach,Reach,$-,$-,Unknown,,many minor areas of bank erosion in small stream lines where Spiny Rush is holding beds together,,
WAP_2025_08_00238,,Reach 4,S6/4,R4/3/2,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,679127,5881867,$-,$-,Unknown,,Minor bank  and some bed instabilities in foothill tributary channels Mount Boswell and Telegraph Hill - incision down onto bed rock intersects with Spiny rush dominant,,
WAP_2025_08_00238,,Reach 4,S6/4,R4/3/2,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,679515,5881262,$-,$-,Unknown,,Minor bank  and some bed instabilities in foothill tributary channels Mount Boswell and Telegraph Hill - incision down onto bed rock intersects with Spiny rush dominant,,
WAP_2025_08_00239,,Reach 4,S6/4,R4/3/2,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,679853,5880877,$-,$-,Unknown,,Minor bank  and some bed instabilities in foothill tributary channels Mount Boswell and Telegraph Hill - incision down onto bed rock intersects with Spiny rush dominant,,
WAP_2025_08_00240,,Reach 4,S6/4,R4/3/2,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,681754,5879141,$-,$-,Unknown,,Minor bank  and some bed instabilities in foothill tributary channels Mount Boswell and Telegraph Hill - incision down onto bed rock intersects with Spiny rush dominant,,
WAP_2025_08_00241,,Reach 1,V1/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,683988,5887770,See E1/1,$-,Unknown,,"Thin, discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00242,,Reach 1,V1/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,685746,5885102,See E1/1,$-,Unknown,,"Thin, discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00243,,Reach 2,V1/2,R2/4,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,690403,5873179,"$100,000.00",$-,Unknown,,Remnant riparian forest and bank vegetation under threat from uncontrolled grazing and large gaps,,
WAP_2025_08_00244,,Reach 2,V1/2,R2/4,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,692182,5873488,"$100,000.00",$-,Unknown,,Remnant riparian forest and bank vegetation under threat from uncontrolled grazing and large gaps,,
WAP_2025_08_00245,,Reach 1,V2/1,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Investigate techniques to lower the saturation levels in the riparian areas,Fencing & Revegetation,Urgent,5,WCMA,Reach,Reach,"$12,000.00",$-,Unknown,,Sediment saturation levels and salt affecting the riparian community,,
WAP_2025_08_00246,,Reach 2,V2/2,R2/2/1,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$20,000.00",$-,Unknown,,"Discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00247,,Reach 4,V2/4,"R4, R4/1",Mt Cole Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00248,,Reach 2,V3/2,R2,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with reestablishment of revegetation of key stream corridors",Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,"$25,000.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00248,,Reach 3,V2/4,R3/1/1,Mt Cole Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00248,,Reach 5,V2/5,R5,Mt Cole Creek WAP 2005,Unknown,Null,support land care groups in control  program of key weed species,Weed Control,Medium,2,WCMA,reach,reach,"$25,000.00",$-,Unknown,,Infestations of Gorse and blackberry noted,,
WAP_2025_08_00248,,Reach 3,V3/3,"R3, R3/1, R3/2, R3/4",Mt Cole Creek WAP 2005,Unknown,Null,Trial replacement with other less weedy species,Revegetation,High,3,WCMA,Reach,Reach,"$15,000.00",$-,Unknown,,Major infestation of Spiny Rush along streams - aiding in bed stability but is a weed,,
WAP_2025_08_00248,,All Reaches,V3/3,All Reaches,Mt Cole Creek WAP 2005,Unknown,Null,Trial replacement with other less weedy species,Revegetation,High,3,WCMA,Reach,Reach,"$15,000.00",$-,Unknown,,Major infestation of Spiny Rush along streams - aiding in bed stability but is also a weed,,
WAP_2025_08_00249,,Reach 4,V3/4,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Trial replacement with other less weedy species,Revegetation,High,3,WCMA,Reach,Reach,"$15,000.00",$-,Unknown,,Major infestation of Spiny Rush along streams - aiding in bed stability but is also a weed,,
WAP_2025_08_00250,,Reach 4,V3/4,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00251,,Tom The Tailor Creek,Unknown,Unknown,Wimmera WAP,Unknown,Null,Improve grazing management through landholder consultation,Consultation,Low,,,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00251,,Reach 4,V3/4,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Trial replacement with other less weedy species,Revegetation,High,3,WCMA,Reach,Reach,"$15,000.00",$-,Unknown,,Major infestation of Spiny Rush along streams - aiding in bed stability but is also a weed,,
WAP_2025_08_00252,,Reach 5,V3/5,All Tributaries,Mt Cole Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,High,3,WCMA,various,various,"$50,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,
WAP_2025_08_00253,,Reach 5,V3/5,All Tributaries,Mt Cole Creek WAP 2005,Unknown,Null,Start revegetation with known salt tolerant stock,Fencing & Revegetation,Low,1,WCMA,Reach,Reach,"$10,000.00",$-,Unknown,,Many RRG's salt stressed,,
WAP_2025_08_00254,,Unknown,Tom The Tailor Creek,Unknown,Wimmera WAP,Unknown,Null,Fence and revegetate right and left banks (approx 5300m),Fencing & Revegetation,Low,,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00255,,All Reaches,V4/2,All Reaches,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,Reach,Reach,"$106,250.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,
WAP_2025_08_00256,,Reach 1,W 1/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment,Water Quality,Medium,2,,Reach,Reach,$-,$-,Unknown,,Salinity of pools elevated,,
WAP_2025_08_00257,,Reach 2,W 1/2,R2,Mt Cole Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment,Water Quality,Medium,2,,Reach,Reach,$-,$-,Unknown,,Salinity of pools elevated,,
WAP_2025_08_00258,,Reach 3,W 1/3,R3/2/1,Mt Cole Creek WAP 2005,Unknown,Null,Investigate opportunities to improve the water quality treatment performance of swamp,Water Quality,Medium,2,,Reach,Reach,$-,$-,Unknown,,high suspended solids and turbidity being treated in old swamp and could be improved,,
WAP_2025_08_00259,,Reach 1,W 1/4,R1,Mt Cole Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment - particularly revegetation of infiltration zones on upper slopes,Revegetation,Urgent,5,,Reach,Reach,$-,$-,Unknown,,Salinity of stream elevated,,
WAP_2025_08_00260,,Reach 5,W 1/5,All Tributaries,Mt Cole Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment - particularly revegetation of infiltration zones on upper slopes,Revegetation,Urgent,5,,Various,Various,$-,$-,Unknown,,Salinity of stream elevated,,
WAP_2025_08_00261,,Reach 2,W2/2,R2/1/1,Mt Cole Creek WAP 2005,Unknown,Null,Fence & revegetate,Fencing & Revegetation,Medium,2,WCMA,690152,5876151,"$60,000.00",$-,Unknown,,"Eroding channel in high slaking soils and saline discharge area producing salt, sediment and turbidity",,
WAP_2025_08_00261,,Reach 3,W2/3,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Protect and enhance swamp with fencing and edge revegetation of overstorey,Fencing & Revegetation,Low,1,WCMA,693880,5869194,"$25,000.00",$-,Unknown,,Many foothill springs with phragmites swamps  treating run off from Mt Cole and Langi Ghiran  Forest,,
WAP_2025_08_00261,,Reach 5,W 2/5,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Investigate opportunities to improve sediment and water quality treatment performance through the establishment of formal sediment traps on the tributaries upstream of the mainstem,Water Quality,Urgent,5,,Reach,Reach,"$12,000.00",$-,Unknown,,"High salinity, suspended solids and turbidity in lateral tributaries having direct impact on the mainstem Mt Cole Creek",,
WAP_2025_08_00261,,Reach 1,W2/1,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Negotiate waterway protection with land owner i.e. fence and revegetate corridor,Water Quality,High,3,Landowner,Reach,Reach,"$10,000.00",$-,Unknown,,"Eroding channels in high slaking soils producing salt, sediment and turbidity",,
WAP_2025_08_00262,,Reach 3,W2/3,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Protect and enhance swamp with fencing and edge revegetation of overstorey,Fencing & Revegetation,Low,1,WCMA,692563,5870039,"$25,000.00",$-,Unknown,,Many foothill springs with phragmites swamps  treating run off from Mt Cole and Langi Ghiran  Forest,,
WAP_2025_08_00262,,Reach 3,W2/3,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Protect and enhance swamp with fencing and edge revegetation of overstorey,Fencing & Revegetation,Low,1,WCMA,693907,5869900,"$25,000.00",$-,Unknown,,Many foothill springs with phragmites swamps  treating run off from Mt Cole and Langi Ghiran  Forest,,
WAP_2025_08_00263,,Unknown,Unknown,Unknown,Wimmera WAP,Unknown,Null,Fence left and right banks as required,Fencing,Low,,WCMA,Null,Null,$-,$-,Planning,,Between the boundary fence 500m NE of Joel Joel hall and levee bank on eastern branch of the Wimmera River,,
WAP_2025_08_00263,,Reach 4,W2/4,"R4/1/1, R4/2",Mt Cole Creek WAP 2005,Unknown,Null,Investigate opportunities to improve water quality treatment performance of swamps east of Woodlands Road,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$25,000.00",$-,Unknown,,High suspended solids and turbidity in tributaries being attenuated by old swamp and could be improved,,
WAP_2025_08_00264,,Reach 1,W3/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Investigate opportunities to enhance swamp characteristics to improve water quality treatment through sed pond and stored event management,Water Quality,Medium,2,,Reach,Reach,"$17,500.00",$-,Unknown,,Large phragmites swamp performing a major water quality improvement function,,
WAP_2025_08_00265,,Reach 2,W3/2,R2/4,Mt Cole Creek WAP 2005,Unknown,Null,Protect and enhance swamp with fencing and edge revegetation of overstorey,Fencing & Revegetation,Low,2,WCMA,691605,5873452,"$25,000.00",$-,Unknown,,Large Phragmites swamp on spring Creek treating run off from Mt Cole  Forest,,
WAP_2025_08_00266,,Reach 1,W4/1,R1/2/2,Mt Cole Creek WAP 2005,Unknown,Null,Monitor run off from area,Monitor,Low,1,,Reach,Reach,$-,$-,Unknown,,Intensive blue gum plantation may impact on yields,,
WAP_2025_08_00267,,Reach 1,1.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Determine the condition of the drop structure on the Bulgana Rd and repair/maintain as appropriate,Stability,Medium,2,,Null,Null,$-,$-,Unknown,,,,
WAP_2025_08_00268,,Reach 1,1.2,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Monitor the condition of the drop structure of Bulgana Road,Monitor,Low,1,,Null,Null,$-,$-,Unknown,,,,
WAP_2025_08_00269,,Reach 1,1.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Fencing and revegetate along creek to link up with roadside vegetation and to link with fencing and revegetation activities in Reach 2,Fencing & Revegetation,Low,1,WCMA,Null,Null,"$18,000.00",$-,Planning,,,,
WAP_2025_08_00270,,Reach 2,2.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,High,3,,Null,Null,"$9,600.00",$-,Unknown,,,,
WAP_2025_08_00271,,Reach 2,2.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Fence and revegetate in upper and mid section to control erosion and sediment movement,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$54,000.00",$-,Planning,,,,
WAP_2025_08_00272,,Reach 2,2.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Improve riparian vegetation in lower section to extend the high value of reach 3 and to act as a buffer to the high value of reach 3,Fencing & Revegetation,Medium,2,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00273,,Reach 2,2.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Control saline groundwater discharge into Seven Mile Creek,Fencing & Revegetation,High,,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00274,,Reach 2,2.4,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Treat active erosion heads in the upper section of the reach,Stability,High,3,WCMA,Null,Null,"$100,000.00",$-,Completed,,"Clark Site 1,2 & 3",,
WAP_2025_08_00275,,Reach 2,2.5,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Restrict stock access to lower reach,Fencing,Medium,2,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00276,"160, 163, 164, 165, 173, 230, 231",Reach 3,3.1,Unknown,Seven Mile Creek WAP 2003,Colin Hall,5358 1159,Repair drop structures,Stability,High,3,WCMA,685498?,5898581?,"$35,100.00","$33,800.00",Completed,,,,
WAP_2025_08_00277,,Reach 3,3.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,High,3,,Null,Null,"$9,000.00",$-,Unknown,,,,
WAP_2025_08_00278,,Reach 3,3.2,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Monitor structures in the upper reaches of the Concongella hill tributary,Monitor,Low,1,,Null,Null,$600.00,$-,Unknown,,,,
WAP_2025_08_00279,,Reach 3,3.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Vegetate to control sediment movement in tributary and manage stock access,Fencing & Revegetation,High,3,WCMA,Null,Null,"$7,000.00",$-,Planning,,,,
WAP_2025_08_00280,,Reach 3,3.4,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Treat active erosion heads in tributary,Stability,High,3,,Null,Null,"$10,000.00",$-,Unknown,,Review as part of WAP update,,
WAP_2025_08_00281,,Reach 3,3.5,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Control saline groundwater discharge into tributary through revegetation and the establishment of deeper rooted pastures in groundwater recharge zones,Fencing & Revegetation,Medium,2,WCMA,Null,Null,$-,$-,Planning,,,,
WAP_2025_08_00282,,Reach 3,3.6,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Implement sediment management at confluence of tributary and Seven Mile Creek,Stability,High,3,,Null,Null,"$10,000.00",$-,Unknown,,,,
WAP_2025_08_00283,,Reach 4,4.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,"Improve water quality, stream form and riparian ecology through fencing and revegetation",Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$14,400.00",$-,Planning,,,,
WAP_2025_08_00284,,Reach 4,4.2,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,"Protect Potters Road from the migrating box channel, through rock breaching",Stability,High,3,,Null,Null,"$5,000.00",$-,Completed,,Pile Fields,,
WAP_2025_08_00285,,Reach 5,5.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Determine the condition of the drop structure on Martins Road and repair/maintain as appropriate,Stability,Medium,2,,Null,Null,"$2,000.00",$-,Unknown,,,,
WAP_2025_08_00286,,Reach 5,5.2,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Monitor the condtion of the drop structure on Martins Road,Monitor,Low,1,,Null,Null,$100.00,$-,Unknown,,,,
WAP_2025_08_00287,,Reach 5,5.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,"Fencing and revegetate along creek to improve water quality, stream form and riparian ecology",Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$30,000.00",$-,Planning,,,,
WAP_2025_08_00288,,Reach 6,6.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Determine the condition of the drop structures and repair/maintain as appropriate,Stability,Medium,2,,Null,Null,"$10,000.00",$-,Unknown,,,,
WAP_2025_08_00289,,Reach 6,6.2,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Monitor,Medium,2,,Null,Null,$800.00,$-,Unknown,,,,
WAP_2025_08_00290,,Reach 6,6.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,"Fencing and revegetation along creek to improve water quality, stream form and riparian ecology",Fencing & Revegetation,Low,1,WCMA,Null,Null,"$18,000.00",$-,Planning,,,,
WAP_2025_08_00291,154,Unknown,0304_047,Unknown,Seven Mile Creek WAP 2003,George Holden,53582034,Replace failed drop structure,Stability,High,3,WCMA,670885,5895813,"$13,600.00","$12,200.00",Completed,,,,
WAP_2025_08_00292,1861,Reach 5,Reach 5,Unknown,Seven Mile Creek WAP 2003,John Pollard,5358 5043,Replace failed drop structure,Stability,Medium,2,WCMA,671372,5903932,"$54,500.00","$58,000.00",Completed,,,,
WAP_2025_08_00293,,Reach 1,1.1,Unknown,Shays Creek WAP 2004,Jack Start,Null,Place grade control structures to address multiple headcuts,Stability,High,3,WCMA,691125,5895323,"$50,000.00",$-,Defered,,,,
WAP_2025_08_00294,,Reach 1,1.1,Unknown,Shays Creek WAP 2004,Unknown,Null,Place grade control structures to address multiple headcuts,Stability,High,3,WCMA,691125,5895323,"$15,000.00",$-,Planning,,Reapraise as part of WAP update,,
WAP_2025_08_00295,,Reach 1,1.2,Unknown,Shays Creek WAP 2004,Unknown,Null,Undertake longitudunal and cross section survey of left bank trbutary to determine location for grade control structures,Survey,Medium,2,WCMA,691037,5896533,$-,$-,Completed,,,,
